variant,instance,run,seed,fitness,deterministic_makespan,final_robust_stdev,final_R,function_evaluations,raw_function_evaluations,runtime_s,generations
competition_no_rl,0_BehnkeGeiger_60_workers.fjs,9,1008,1917.864006432271,910.0,15.904825813283958,2.107542864211287,179790,181660,129601.32161641121,48601
competition_no_rl,0_BehnkeGeiger_60_workers.fjs,10,1009,1837.7501432796562,874.0,15.235955570060861,2.102688951120888,315790,323440,129601.99488544464,45939
competition_no_rl,1_Brandimarte_12_workers.fjs,1,1000,1208.9983843196258,572.0,11.326220873601281,2.113633539020325,1249080,5000000,109539.37889194489,87284
competition_no_rl,1_Brandimarte_12_workers.fjs,2,1001,1201.8936328177522,568.0,13.205964890141393,2.1160099169326623,3468920,5000000,110253.46946334839,83867
competition_no_rl,1_Brandimarte_12_workers.fjs,3,1002,1218.5435485740002,578.0,10.92154204000438,2.108206831442907,154280,5000000,109526.9440305233,85045
competition_no_rl,1_Brandimarte_12_workers.fjs,4,1003,1164.0769537376348,549.0,13.014943263337225,2.120358749977477,515770,5000000,108974.69512104988,85254
competition_no_rl,1_Brandimarte_12_workers.fjs,5,1004,1119.1444957936749,531.0,9.466419553074799,2.107616752907109,841710,5000000,107636.62585520744,82875
competition_no_rl,1_Brandimarte_12_workers.fjs,6,1005,1087.246608072505,515.0,10.219807295910865,2.111158462276709,185510,5000000,109755.54575800896,83906
competition_no_rl,1_Brandimarte_12_workers.fjs,7,1006,1198.610503525013,566.0,16.041089573013494,2.1176864019876556,4031840,5000000,106398.14004182816,82833
competition_no_rl,1_Brandimarte_12_workers.fjs,8,1007,1117.7585464890092,529.0,12.817104231934643,2.112965116236312,658610,5000000,107844.76237535477,82388
competition_no_rl,1_Brandimarte_12_workers.fjs,9,1008,1148.0312556718964,543.0,13.1218876075244,2.1142380399114113,274260,5000000,108876.32895159721,83156
competition_no_rl,1_Brandimarte_12_workers.fjs,10,1009,1133.7329559654333,536.0,12.423078005470593,2.1151734253086443,300620,5000000,108493.9706530571,82781
competition_no_rl,1_Brandimarte_14_workers.fjs,1,1000,1416.1290876768676,672.0,12.207474647229516,2.107334951900101,2237800,4102540,129601.09608864784,66907
competition_no_rl,1_Brandimarte_14_workers.fjs,2,1001,1467.4541509430112,693.0,14.090049601424546,2.1175384573492226,133230,4030340,129601.37736773491,67991
competition_no_rl,1_Brandimarte_14_workers.fjs,3,1002,1434.4502018210371,681.0,14.416740442440135,2.1063879615580574,293870,3892370,129600.7268652916,69428
competition_no_rl,1_Brandimarte_14_workers.fjs,4,1003,1516.0663762110094,716.0,16.536665744292655,2.1174111399595104,236610,3356480,129601.17758107185,73530
competition_no_rl,1_Brandimarte_14_workers.fjs,5,1004,1510.0214859746966,717.0,12.761487250469317,2.1060271770916272,2313380,4008280,129600.07766103745,68623
competition_no_rl,1_Brandimarte_14_workers.fjs,6,1005,1729.6049913077538,824.0,13.886564564282716,2.0990351836259147,2470250,3665310,129602.57582378387,72141
competition_no_rl,1_Brandimarte_14_workers.fjs,7,1006,1490.9282140637342,705.0,15.557528716256611,2.1147917929982047,453520,3813760,129600.61751508713,69927
competition_no_rl,1_Brandimarte_14_workers.fjs,8,1007,1569.1613963996588,746.0,12.59161716462308,2.1034335072381487,167500,3812890,129600.75369644165,69801
competition_no_rl,1_Brandimarte_14_workers.fjs,9,1008,1493.7490008553964,708.0,18.132665997723933,2.1098149729595996,609310,4102760,129601.54570269585,66996
competition_no_rl,1_Brandimarte_14_workers.fjs,10,1009,1458.6020307609622,691.0,15.133673256419259,2.110856773894301,478610,4020840,129600.04201340675,67720
competition_no_rl,1_Brandimarte_7_workers.fjs,1,1000,375.4228054883477,176.0,5.708549348962363,2.133084122092885,178180,5000000,62632.71482586861,76880
competition_no_rl,1_Brandimarte_7_workers.fjs,2,1001,392.8519268272734,186.0,6.4418752356685305,2.112107133479965,4740530,5000000,63679.25330734253,76204
competition_no_rl,1_Brandimarte_7_workers.fjs,3,1002,387.3510724386065,183.0,6.338306556971163,2.1166725269869207,3092820,5000000,66870.95180606842,84178
competition_no_rl,1_Brandimarte_7_workers.fjs,4,1003,368.2743015551689,173.0,8.035189531897572,2.128753188180167,188450,5000000,66198.73432254791,83960
competition_no_rl,1_Brandimarte_7_workers.fjs,5,1004,360.9552592585577,171.0,4.742768836036866,2.110849469348291,4307840,5000000,64565.86541366577,78962
competition_no_rl,1_Brandimarte_7_workers.fjs,6,1005,390.5126003748752,186.0,5.256033775140538,2.0995301095423398,88920,5000000,67503.42838740349,84920
competition_no_rl,1_Brandimarte_7_workers.fjs,7,1006,403.5235300588432,190.0,9.76920265959142,2.12380805294128,190280,5000000,66673.8547873497,83854
competition_no_rl,1_Brandimarte_7_workers.fjs,8,1007,373.9563656154328,177.0,4.163656264663915,2.1127478283357783,4131920,5000000,66145.38582134247,83792
competition_no_rl,1_Brandimarte_7_workers.fjs,9,1008,355.38660922835857,167.0,5.573264201317674,2.1280635283135245,4314900,5000000,61013.641537189484,71787
competition_no_rl,1_Brandimarte_7_workers.fjs,10,1009,391.67077223096055,185.0,5.74677165369251,2.1171393093565434,4540410,5000000,59254.117978811264,68686
competition_no_rl,2a_Hurink_sdata_18_workers.fjs,1,1000,2729.867370918839,1292.0,37.256638562762994,2.1129004418876463,4333940,5000000,60172.8321185112,75426
competition_no_rl,2a_Hurink_sdata_18_workers.fjs,2,1001,2795.0972701007786,1327.0,44.27869599715712,2.106328010626058,193280,5000000,50528.27542376518,58612
competition_no_rl,2a_Hurink_sdata_18_workers.fjs,3,1002,2687.4399015301774,1280.0,33.418032659747325,2.0995624230704513,4647670,5000000,61101.958560466766,77002
competition_no_rl,2a_Hurink_sdata_18_workers.fjs,4,1003,2686.9369096428854,1274.0,50.643617252541475,2.1090556590603495,4433100,5000000,63683.00208735466,82409
competition_no_rl,2a_Hurink_sdata_18_workers.fjs,5,1004,2896.161372487367,1382.0,29.49999963863354,2.0956305155480224,4781820,5000000,64133.66842389107,83679
competition_no_rl,2a_Hurink_sdata_18_workers.fjs,6,1005,2797.3988639641466,1337.0,27.133505655015057,2.092295335799661,4256730,5000000,59727.10630226135,74040
competition_no_rl,2a_Hurink_sdata_18_workers.fjs,7,1006,2747.9954740905314,1288.0,43.39966534410603,2.1335368587659405,137180,5000000,46420.479408979416,51880
competition_no_rl,2a_Hurink_sdata_18_workers.fjs,8,1007,2947.6513239037577,1410.0,26.770136279320756,2.0905328538324524,2868780,5000000,63527.871322155,84040
competition_no_rl,2a_Hurink_sdata_18_workers.fjs,9,1008,2735.8241484321643,1302.0,35.943019165792734,2.1012474258311555,1477900,5000000,63611.23305630684,81982
competition_no_rl,2a_Hurink_sdata_18_workers.fjs,10,1009,2822.868300500614,1340.0,44.83308345214143,2.106618134701951,2507760,5000000,58790.86918306351,72370
competition_no_rl,2a_Hurink_sdata_1_workers.fjs,1,1000,111.83163817589812,53.0,2.393117486096584,2.1100309089792098,2135920,5000000,12565.047216415405,17055
competition_no_rl,2a_Hurink_sdata_1_workers.fjs,2,1001,120.34250021007765,57.0,3.220938588985924,2.111271933510134,1057580,5000000,12640.391414880753,17292
competition_no_rl,2a_Hurink_sdata_1_workers.fjs,3,1002,118.41394839662564,56.0,2.7918678832598194,2.1145347927968863,1190730,5000000,12834.98279619217,18405
competition_no_rl,2a_Hurink_sdata_1_workers.fjs,4,1003,110.34870632042231,52.0,3.431336298578422,2.1220905061619675,4549800,5000000,12634.102185964584,17456
competition_no_rl,2a_Hurink_sdata_1_workers.fjs,5,1004,113.49757271787396,54.0,2.890861583586215,2.1018069021828514,4199480,5000000,12560.022422790527,17069
competition_no_rl,2a_Hurink_sdata_1_workers.fjs,6,1005,110.7283964066194,52.0,1.7714811410921383,2.1293922385888346,4091070,5000000,12528.332788705826,16506
competition_no_rl,2a_Hurink_sdata_1_workers.fjs,7,1006,111.27791308405743,52.0,4.033459565409573,2.1399598670011044,3177360,5000000,12523.116670131683,16921
competition_no_rl,2a_Hurink_sdata_1_workers.fjs,8,1007,110.8570974151106,52.0,1.774212115793586,2.131867257982896,1936820,5000000,12574.511325120926,17355
competition_no_rl,2a_Hurink_sdata_1_workers.fjs,9,1008,112.75796148869654,54.0,2.3939989914606867,2.088110397938825,3942820,5000000,12601.279799461365,17427
competition_no_rl,2a_Hurink_sdata_1_workers.fjs,10,1009,119.68669776310102,57.0,2.439536829384986,2.099766627422825,4695070,5000000,12653.76982498169,17589
competition_no_rl,2a_Hurink_sdata_38_workers.fjs,1,1000,5538.883788162562,2623.0,51.52827643582376,2.1116598506147777,108170,1252340,129600.44813990593,78605
competition_no_rl,2a_Hurink_sdata_38_workers.fjs,2,1001,4948.784779634479,2332.0,42.12042296801519,2.122120402930737,269770,1039330,129600.52902817726,81427
competition_no_rl,2a_Hurink_sdata_38_workers.fjs,3,1002,4913.076025232782,2312.0,58.61399091062985,2.1250328828861513,232790,1643550,129601.3157696724,75114
competition_no_rl,2a_Hurink_sdata_38_workers.fjs,4,1003,5504.523886216302,2595.0,56.99684498885037,2.1212038097172647,1046790,1254310,129601.0037047863,79337
competition_no_rl,2a_Hurink_sdata_38_workers.fjs,5,1004,5351.839804762964,2528.0,42.09322630737952,2.117025239225856,162150,1061820,129600.09694766998,80830
competition_no_rl,2a_Hurink_sdata_38_workers.fjs,6,1005,5432.102089690997,2573.0,50.25205749192231,2.111193971897006,367840,1329030,129601.16891503334,77977
competition_no_rl,2a_Hurink_sdata_38_workers.fjs,7,1006,5187.840883341741,2450.0,74.49388097140562,2.1174860748333635,202800,1222250,129600.51657056808,78997
competition_no_rl,2a_Hurink_sdata_38_workers.fjs,8,1007,4919.311201933125,2328.0,60.0202107749473,2.1131061863973906,281630,1208610,129600.2400238514,79222
competition_no_rl,2a_Hurink_sdata_38_workers.fjs,9,1008,5156.7122798558,2446.0,58.61147038289587,2.10822251833843,192900,1396300,129600.24855685234,77675
competition_no_rl,2a_Hurink_sdata_38_workers.fjs,10,1009,5141.228554175259,2419.0,72.42335706389044,2.1253528541443814,579320,1296270,129600.35772132874,78238
competition_no_rl,2a_Hurink_sdata_40_workers.fjs,1,1000,3732.7153728152803,1756.0,44.170560394494494,2.1256921257490204,142550,5000000,123126.27042603493,84852
competition_no_rl,2a_Hurink_sdata_40_workers.fjs,2,1001,3698.1665411041686,1751.0,45.466825615937566,2.11203114854607,866940,5000000,125803.9382750988,85202
competition_no_rl,2a_Hurink_sdata_40_workers.fjs,3,1002,3698.8743664415524,1749.0,49.70442121557777,2.1148509813845355,1931510,5000000,125873.19680523872,83736
competition_no_rl,2a_Hurink_sdata_40_workers.fjs,4,1003,3538.986471459372,1662.0,54.720220440910936,2.1293540742836172,146280,5000000,124502.08568286896,84720
competition_no_rl,2a_Hurink_sdata_40_workers.fjs,5,1004,3564.075865066753,1682.0,34.5096043786836,2.1189511682917677,3105110,5000000,121834.71082115173,84160
competition_no_rl,2a_Hurink_sdata_40_workers.fjs,6,1005,3734.4564984459066,1765.0,42.85227842538731,2.1158393758900322,565610,5000000,125044.32365846634,84425
competition_no_rl,2a_Hurink_sdata_40_workers.fjs,7,1006,3828.471280436058,1806.0,47.589150401929004,2.1198622815260566,478150,5000000,124738.77695918083,84666
