comparison,baseline,candidate,instance,paired_runs,baseline_median_fitness,candidate_median_fitness,quality_ratio,baseline_mean_raw_function_evaluations,candidate_mean_raw_function_evaluations,raw_fe_ratio,baseline_mean_best_found_function_evaluations,candidate_mean_best_found_function_evaluations,best_found_fe_ratio,runtime_ratio,final_robust_stdev_ratio,final_R_delta,quality_outcome,raw_fe_outcome
rl_effect_without_pipeline,hpo_plain_ga,hpo_rl_only,2d_Hurink_vdata_5_workers.fjs,10,1227.9561300248229,1223.7047223102982,0.9965378179150107,4999992,4999992,1.0,4082884.8,3854186.4,0.9439860757276326,0.9999996947127637,0.943867371463628,-0.000409775107796051,win,tie
rl_effect_without_pipeline,hpo_plain_ga,hpo_rl_only,3_DPpaulli_15_workers.fjs,10,7331.417845749604,7202.1066979847765,0.9823620545867815,4999992,4999992,1.0,4874680.8,4746631.2,0.9737316954168569,0.9999954096209744,1.051759745707945,0.004594277316630091,win,tie
rl_effect_without_pipeline,hpo_plain_ga,hpo_rl_only,3_DPpaulli_18_workers.fjs,10,7177.358942166324,6994.205912216799,0.9744818349722602,4999992,4999992,1.0,4751589.6,4854824.4,1.0217263713179272,0.999995256572254,1.005453022968241,-0.0031668722317292897,win,tie
rl_effect_without_pipeline,hpo_plain_ga,hpo_rl_only,3_DPpaulli_1_workers.fjs,10,6469.5220093268945,6455.789443856512,0.997877344655357,4999992,4999992,1.0,4136608.8,4297843.2,1.038977434849532,0.999998702962105,1.0455730542427513,-0.0032704660463211965,win,tie
rl_effect_without_pipeline,hpo_plain_ga,hpo_rl_only,3_DPpaulli_9_workers.fjs,10,6135.905641383966,6056.846928018051,0.9871153961637383,4999992,4999992,1.0,4835484,4574434.8,0.9460138426680762,1.0000056649376015,1.0614340502303274,0.0007360764462047698,win,tie
rl_effect_without_pipeline,hpo_plain_ga,hpo_rl_only,4_ChambersBarnes_10_workers.fjs,10,2338.768602222407,2278.875369969137,0.9743911252287393,4999992,4999992,1.0,4347338.4,4566003.6,1.0502986378976156,1.0000021359832,1.1081349758070187,0.004000325597910859,win,tie
rl_effect_without_pipeline,hpo_plain_ga,hpo_rl_only,5_Kacem_3_workers.fjs,10,17.330337686985324,18.84402123045131,1.0873429918565711,4999992,4999992,1.0,3638785.2,3912874.8,1.0753244791695864,0.9999998917739706,0.8633347324902492,0.0014641197035372144,loss,tie
rl_effect_without_pipeline,hpo_plain_ga,hpo_rl_only,5_Kacem_4_workers.fjs,10,40.01026487450223,40.071166717738635,1.0015221554625402,4999992,4999992,1.0,4164261.6,3954544.8,0.9496388987665904,1.0000006799982133,0.8274663222269472,0.0005160376836519376,loss,tie
rl_effect_without_pipeline,hpo_plain_ga,hpo_rl_only,6_Fattahi_14_workers.fjs,10,1234.1914017448082,1247.4575320521922,1.0107488435656165,4999992,4999992,1.0,3132909.6,3410028,1.0884540045458062,1.0000006872240041,1.2446334003244977,0.0025803786130991213,loss,tie
rl_effect_without_pipeline,hpo_plain_ga,hpo_rl_only,6_Fattahi_20_workers.fjs,10,3066.7372922616833,3085.37397206494,1.006077038242005,4999992,4999992,1.0,3495387.6,4253289.6,1.2168291722497384,1.0000002349870953,1.0070882841413238,-0.003729475420334083,loss,tie
