comparison,baseline,candidate,instance,run,seed,baseline_fitness,candidate_fitness,fitness_ratio,baseline_raw_function_evaluations,candidate_raw_function_evaluations,raw_function_evaluations_ratio,baseline_best_found_function_evaluations,candidate_best_found_function_evaluations,baseline_runtime_s,candidate_runtime_s
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,1_Brandimarte_14_workers.fjs,3,1002,1476.2495244222139,1418.6525784662585,0.9609842746750431,4999992,3050244,0.6100497760796417,4865640,564084,129601.80801224709,129602.57657623291
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,1_Brandimarte_14_workers.fjs,4,1003,1517.8957498836787,1468.2288632794143,0.9672791187352158,4999992,3066252,0.6132513812022099,4658268,2877012,129601.26086831093,129600.17467570305
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,1_Brandimarte_14_workers.fjs,5,1004,1503.8430900541555,1477.480723846549,0.9824700021019764,4999992,3084696,0.6169401871042993,4979748,2663604,129601.14789795876,129600.2547929287
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,1_Brandimarte_14_workers.fjs,6,1005,1610.4134022062167,1509.1837185107593,0.9371405605810434,4999992,2971068,0.5942145507432812,4997088,190080,129601.74754881859,129602.11064076424
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,1_Brandimarte_14_workers.fjs,7,1006,1545.7752077110558,1548.1706099474518,1.001549644621318,4999992,2990016,0.5980041568066509,4956468,209496,129600.08866500854,129601.40449857712
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,1_Brandimarte_14_workers.fjs,8,1007,1485.9768468909335,1469.0194052920078,0.9885883540955532,4999992,2885976,0.5771961235137977,4059324,744264,129601.81755638123,129602.63371348381
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,1_Brandimarte_14_workers.fjs,9,1008,1485.9451793052347,1551.9482109871221,1.044418214481336,4999992,3010560,0.6021129633807414,4996800,260280,129602.00672864914,129601.5435295105
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,1_Brandimarte_14_workers.fjs,10,1009,1542.7001610256589,1459.6845767762597,0.9461881275787212,4999992,3005376,0.6010761617218587,4753488,281436,129602.12660360336,129600.54760432243
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,1_Brandimarte_7_workers.fjs,1,1000,411.9014194970467,366.16112837659966,0.8889533054382325,4999992,4999992,1.0,4864344,917964,129600.28299760818,129600.03329396248
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,1_Brandimarte_7_workers.fjs,2,1001,421.47284307381466,384.8137282251506,0.9130214070702445,4999992,4999992,1.0,2252868,185868,129600.1839799881,129600.40532016754
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,1_Brandimarte_7_workers.fjs,3,1002,448.5593305374162,377.4185941725409,0.841401724316732,4999992,4999992,1.0,2588400,4029876,129600.93494939804,129600.6863758564
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,1_Brandimarte_7_workers.fjs,4,1003,417.3916128868949,373.5059207833899,0.8948572737243832,4999992,4999992,1.0,3724644,3500508,129600.5431509018,129600.66698718071
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,1_Brandimarte_7_workers.fjs,5,1004,452.7741990063794,362.1805298383675,0.799914241211577,4999992,4999992,1.0,3990696,4720560,129600.11080646515,129600.96531748772
pipeline_effect_without_rl,hpo_plain_ga,hpo_no_rl,1_Brandimarte_7_workers.fjs,6,1005,391.77595685942214,356.412371199866,0.9097351814464578,4999992,4999992,1.0,3450096,2973432,129600.50080132484,129600.79201960564
