rank,status,config_id,parent_config_id,source,score,successful_runs,failed_runs,expected_runs,best_fitness,mean_fitness,median_fitness,std_fitness,mean_runtime_s,mean_function_evaluations,params
60,ok,TPE0034_690806e6bd,,TPE guided by screening summary,1.0844891759209883,36,0,36,112.9750850521507,4068.2016921764875,2135.5532385065344,5644.323669635779,5868.238339761893,350210.8888888889,"{""ga.elitism_rate"":0.05,""ga.offspring_ratio"":6,""ga.population_size"":160,""ga.restart_generations"":800,""ls.interval"":10,""ls.min_predicted_improvement"":1.0,""ls.neighbors_per_origin"":200,""ls.origin_count"":3,""ls.random_k"":1,""ls.real_eval_limit_per_origin"":16,""ls.top_k"":8,""ls.uncertain_k"":6,""ls.use"":true,""stoch.internal_simulations"":8,""sur.max_training_samples"":5000,""sur.min_real_per_generation"":6,""sur.min_samples_leaf"":5,""sur.n_estimators"":200,""sur.random_fraction"":0.005,""sur.retrain_interval_real_candidates"":100,""sur.top_fraction"":0.01,""sur.uncertain_fraction"":0.01,""sur.warmup_real_candidates"":800}"
61,ok,TPE0009_545367318c,,TPE guided by screening summary,1.0850571822548705,36,0,36,110.9223248001395,4056.4322302879896,2115.5201860878824,5625.9612909888565,3652.180836353037,479004.8888888889,"{""ga.elitism_rate"":0.05,""ga.offspring_ratio"":4,""ga.population_size"":240,""ga.restart_generations"":800,""ls.interval"":15,""ls.min_predicted_improvement"":1.0,""ls.neighbors_per_origin"":256,""ls.origin_count"":2,""ls.random_k"":3,""ls.real_eval_limit_per_origin"":12,""ls.top_k"":8,""ls.uncertain_k"":6,""ls.use"":true,""stoch.internal_simulations"":16,""sur.max_training_samples"":3000,""sur.min_real_per_generation"":8,""sur.min_samples_leaf"":3,""sur.n_estimators"":500,""sur.random_fraction"":0.005,""sur.retrain_interval_real_candidates"":75,""sur.top_fraction"":0.03,""sur.uncertain_fraction"":0.01,""sur.warmup_real_candidates"":1200}"
62,ok,TPE0022_249b9f072c,,TPE guided by screening summary,1.0851904856683203,34,2,36,113.31863618960307,4134.575054752085,2040.4697123871242,5612.600756793975,5703.014207475326,448866.70588235295,"{""ga.elitism_rate"":0.05,""ga.offspring_ratio"":5,""ga.population_size"":360,""ga.restart_generations"":800,""ls.interval"":30,""ls.min_predicted_improvement"":5.0,""ls.neighbors_per_origin"":128,""ls.origin_count"":3,""ls.random_k"":4,""ls.real_eval_limit_per_origin"":8,""ls.top_k"":8,""ls.uncertain_k"":4,""ls.use"":true,""stoch.internal_simulations"":12,""sur.max_training_samples"":5000,""sur.min_real_per_generation"":8,""sur.min_samples_leaf"":3,""sur.n_estimators"":500,""sur.random_fraction"":0.005,""sur.retrain_interval_real_candidates"":75,""sur.top_fraction"":0.03,""sur.uncertain_fraction"":0.01,""sur.warmup_real_candidates"":1200}"
63,ok,TPE0027_268cece10f,,TPE guided by screening summary,1.0853750567846303,35,1,36,113.13514448259727,4071.450188141065,2084.099435223022,5583.875461165207,3962.711847332546,435606.85714285716,"{""ga.elitism_rate"":0.08,""ga.offspring_ratio"":6,""ga.population_size"":360,""ga.restart_generations"":800,""ls.use"":false,""stoch.internal_simulations"":12,""sur.max_training_samples"":3000,""sur.min_real_per_generation"":8,""sur.min_samples_leaf"":5,""sur.n_estimators"":500,""sur.random_fraction"":0.005,""sur.retrain_interval_real_candidates"":75,""sur.top_fraction"":0.03,""sur.uncertain_fraction"":0.01,""sur.warmup_real_candidates"":1200}"
64,ok,TPE0011_fd4cc5f8c6,,TPE guided by screening summary,1.0887017594072346,36,0,36,113.46863835663186,4033.8626158745283,2109.969514309085,5516.235887132544,5771.0633697575995,330378.44444444444,"{""ga.elitism_rate"":0.05,""ga.offspring_ratio"":6,""ga.population_size"":360,""ga.restart_generations"":400,""ls.interval"":15,""ls.min_predicted_improvement"":2.0,""ls.neighbors_per_origin"":256,""ls.origin_count"":4,""ls.random_k"":1,""ls.real_eval_limit_per_origin"":12,""ls.top_k"":8,""ls.uncertain_k"":6,""ls.use"":true,""stoch.internal_simulations"":8,""sur.max_training_samples"":3000,""sur.min_real_per_generation"":8,""sur.min_samples_leaf"":3,""sur.n_estimators"":500,""sur.random_fraction"":0.005,""sur.retrain_interval_real_candidates"":75,""sur.top_fraction"":0.015,""sur.uncertain_fraction"":0.01,""sur.warmup_real_candidates"":1200}"
65,ok,TPE0012_0265e8a0ca,,TPE guided by screening summary,1.0894601880589827,36,0,36,116.75949100708365,4119.329172944582,2046.9483583897138,5777.643681831274,4688.503161125713,391360.8888888889,"{""ga.elitism_rate"":0.08,""ga.offspring_ratio"":6,""ga.population_size"":280,""ga.restart_generations"":400,""ls.interval"":15,""ls.min_predicted_improvement"":2.0,""ls.neighbors_per_origin"":256,""ls.origin_count"":2,""ls.random_k"":1,""ls.real_eval_limit_per_origin"":16,""ls.top_k"":8,""ls.uncertain_k"":2,""ls.use"":true,""stoch.internal_simulations"":16,""sur.max_training_samples"":8000,""sur.min_real_per_generation"":8,""sur.min_samples_leaf"":3,""sur.n_estimators"":200,""sur.random_fraction"":0.01,""sur.retrain_interval_real_candidates"":100,""sur.top_fraction"":0.01,""sur.uncertain_fraction"":0.0025,""sur.warmup_real_candidates"":600}"
66,ok,TPE0024_2aa587ec54,,TPE guided by screening summary,1.0908269081837387,36,0,36,116.29036532126926,4043.55822375943,2176.2805356365916,5564.482492830816,5930.699868208832,357944.44444444444,"{""ga.elitism_rate"":0.05,""ga.offspring_ratio"":5,""ga.population_size"":360,""ga.restart_generations"":800,""ls.interval"":20,""ls.min_predicted_improvement"":5.0,""ls.neighbors_per_origin"":256,""ls.origin_count"":2,""ls.random_k"":1,""ls.real_eval_limit_per_origin"":12,""ls.top_k"":8,""ls.uncertain_k"":6,""ls.use"":true,""stoch.internal_simulations"":8,""sur.max_training_samples"":5000,""sur.min_real_per_generation"":5,""sur.min_samples_leaf"":5,""sur.n_estimators"":200,""sur.random_fraction"":0.01,""sur.retrain_interval_real_candidates"":75,""sur.top_fraction"":0.01,""sur.uncertain_fraction"":0.005,""sur.warmup_real_candidates"":1000}"
67,ok,TPE0015_bd866a4c0c,,TPE guided by screening summary,1.0911820125145764,36,0,36,110.80872565995782,4168.6194492940285,2127.4362374499997,5896.874790162588,6407.236138721307,338898.6666666667,"{""ga.elitism_rate"":0.1,""ga.offspring_ratio"":6,""ga.population_size"":200,""ga.restart_generations"":800,""ls.interval"":10,""ls.min_predicted_improvement"":2.0,""ls.neighbors_per_origin"":200,""ls.origin_count"":3,""ls.random_k"":1,""ls.real_eval_limit_per_origin"":16,""ls.top_k"":8,""ls.uncertain_k"":4,""ls.use"":true,""stoch.internal_simulations"":8,""sur.max_training_samples"":5000,""sur.min_real_per_generation"":5,""sur.min_samples_leaf"":5,""sur.n_estimators"":200,""sur.random_fraction"":0.005,""sur.retrain_interval_real_candidates"":75,""sur.top_fraction"":0.01,""sur.uncertain_fraction"":0.0025,""sur.warmup_real_candidates"":1200}"
68,ok,TPE0068_663e03575e,,TPE guided by screening summary,1.0935725223576098,36,0,36,109.52009783216971,4067.9552574895356,2076.5220680438333,5550.399705418794,6237.242758240965,335122.6666666667,"{""ga.elitism_rate"":0.05,""ga.offspring_ratio"":6,""ga.population_size"":240,""ga.restart_generations"":400,""ls.interval"":20,""ls.min_predicted_improvement"":5.0,""ls.neighbors_per_origin"":200,""ls.origin_count"":2,""ls.random_k"":2,""ls.real_eval_limit_per_origin"":10,""ls.top_k"":8,""ls.uncertain_k"":6,""ls.use"":true,""stoch.internal_simulations"":8,""sur.max_training_samples"":5000,""sur.min_real_per_generation"":5,""sur.min_samples_leaf"":3,""sur.n_estimators"":200,""sur.random_fraction"":0.005,""sur.retrain_interval_real_candidates"":75,""sur.top_fraction"":0.01,""sur.uncertain_fraction"":0.005,""sur.warmup_real_candidates"":800}"
69,ok,TPE0051_7ade7c3635,,TPE guided by screening summary,1.0965818155621914,36,0,36,110.52671159576953,4172.84102747345,2165.144312178265,5869.862172276003,4628.822119461165,424195.6666666667,"{""ga.elitism_rate"":0.08,""ga.offspring_ratio"":6,""ga.population_size"":160,""ga.restart_generations"":800,""ls.interval"":30,""ls.min_predicted_improvement"":5.0,""ls.neighbors_per_origin"":200,""ls.origin_count"":4,""ls.random_k"":1,""ls.real_eval_limit_per_origin"":12,""ls.top_k"":8,""ls.uncertain_k"":6,""ls.use"":true,""stoch.internal_simulations"":12,""sur.max_training_samples"":3000,""sur.min_real_per_generation"":8,""sur.min_samples_leaf"":3,""sur.n_estimators"":500,""sur.random_fraction"":0.005,""sur.retrain_interval_real_candidates"":75,""sur.top_fraction"":0.02,""sur.uncertain_fraction"":0.01,""sur.warmup_real_candidates"":1200}"
