comparison,baseline,candidate,instance,run,seed,baseline_fitness,candidate_fitness,fitness_ratio,improvement_percent,baseline_runtime_s,candidate_runtime_s,baseline_function_evaluations,candidate_function_evaluations,baseline_final_R,candidate_final_R
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,5_Kacem_3_workers.fjs,9,1008,15.293996160379747,17.10370464004705,1.118328032823461,-11.832803282346106,12077.375705480576,129600.069596529,3593390,4055004,2.184856594339964,2.137963080005881
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,5_Kacem_3_workers.fjs,10,1009,16.84879875814871,15.272979404730174,0.9064728960183935,9.352710398160646,12077.729210138321,129600.56055760384,4982620,4892496,2.106099844768589,2.181854200675739
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,5_Kacem_4_workers.fjs,1,1000,32.682927280332166,32.62000314117165,0.9980747092015108,0.1925290798489243,18940.953230142593,129600.85494828224,3675750,2364660,2.178861818688811,2.1746668760781103
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,5_Kacem_4_workers.fjs,2,1001,28.222549504088672,34.54800435228695,1.2241276907772594,-22.412769077725937,19160.56962108612,129600.03968501091,4494400,2883888,2.1709653464683596,2.1592502720179345
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,5_Kacem_4_workers.fjs,3,1002,30.758696910434935,30.584111679300836,0.994324036819815,0.567596318018504,19341.96282362938,129600.41370368004,4762270,4884036,2.197049779316781,2.1845794056643455
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,5_Kacem_4_workers.fjs,4,1003,30.585182076605413,32.31666674160163,1.0566118802451279,-5.661188024512787,21010.562972784042,129600.53338336945,4736220,4283724,2.1846558626146724,2.1544444494401085
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,5_Kacem_4_workers.fjs,5,1004,30.827119421037082,27.64752298825861,0.8968571669200903,10.314283307990967,19177.245486736298,129600.12203359604,2031140,4486632,2.2019371015026485,2.126732537558355
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,5_Kacem_4_workers.fjs,6,1005,30.25482780129297,37.32043926843459,1.233536661108997,-23.353666110899706,18804.106725215912,129600.06973552704,2323410,4747044,2.1610591286637835,2.1953199569667405
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,5_Kacem_4_workers.fjs,7,1006,34.47218944833628,32.40552390767589,0.94004832377248,5.995167622751996,20076.975618124008,129600.2659676075,4886030,2171172,2.1545118405210175,2.160368260511726
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,5_Kacem_4_workers.fjs,8,1007,30.222424552982993,29.979169939299528,0.9919511879909895,0.8048812009010531,18908.97502017021,129600.2959291935,4860180,4904268,2.1587446109273567,2.141369281378538
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,5_Kacem_4_workers.fjs,9,1008,31.83784256229276,32.412958948287205,1.0180639245535936,-1.8063924553593624,20828.142822265625,129600.23063850403,1438400,4687128,2.122522837486184,2.1608639298858137
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,5_Kacem_4_workers.fjs,10,1009,32.88789739433571,29.631765645105688,0.9009930093679134,9.900699063208663,19322.86292028427,129600.80053424835,2769740,3387864,2.192526492955714,2.1165546889361204
