comparison,baseline,candidate,instance,paired_runs,baseline_median_fitness,candidate_median_fitness,fitness_ratio,improvement_percent,baseline_mean_runtime_s,candidate_mean_runtime_s,runtime_ratio,baseline_mean_function_evaluations,candidate_mean_function_evaluations,function_evaluations_ratio,baseline_mean_final_robust_stdev,candidate_mean_final_robust_stdev,final_robust_stdev_ratio,baseline_mean_final_R,candidate_mean_final_R,final_R_delta,outcome
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,2a_Hurink_sdata_54_workers.fjs,10,18765.897404271098,19177.04366048726,1.0219092243423746,-2.1909224342374634,23263.406992793083,129600.69694409371,5.57101102965028,4126629,3567618,0.8645356779104688,326.5259782667551,343.3617982639496,1.0515604304642507,2.1084274460684784,2.104051502582066,-0.00437594348641257,loss
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,2a_Hurink_sdata_61_workers.fjs,10,2023.580876482434,1998.862351105839,0.9877847603405094,1.2215239659490562,33818.74032690525,129600.68927559853,3.8322151571237506,3606775,1907762.4,0.5289385670023774,34.702214400824126,31.335751415384,0.9029899663878459,2.116073478352899,2.114091028699566,-0.0019824496533331626,win
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,2a_Hurink_sdata_63_workers.fjs,10,877.6075375032499,894.0137648565251,1.0186942644088384,-1.8694264408838368,34718.23162093163,129600.7849183321,3.7329316289311163,3594142,3973910.4,1.1056631596636972,14.197863255092738,14.464599128617436,1.018787043425638,2.11422783556271,2.1184191339197085,0.004191298356998274,loss
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,2b_Hurink_edata_1_workers.fjs,10,107.58233815779364,107.61394198103216,1.0002937640488176,-0.02937640488176463,12748.077855443955,129600.38837344646,10.166268973490913,3131141,2452466.4,0.7832500676271046,2.7547561518854864,2.691358965698734,0.9769862802036542,2.1083967334904146,2.112358619911204,0.00396188642078954,loss
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,2b_Hurink_edata_6_workers.fjs,10,1232.3647805180583,1259.4319323132618,1.0219635875863193,-2.1963587586319333,17534.498657894135,129600.51005132198,7.391172829054629,3214613,3166064.4,0.9848975288782817,26.4771649353375,24.802384372252824,0.9367462276578772,2.113464037168262,2.1109539976722083,-0.002510039496053551,loss
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,2c_Hurink_rdata_28_workers.fjs,10,2224.139456931579,2073.291867593205,0.9321770993863474,6.782290061365259,85033.3461992979,129600.46162247658,1.5241133909833913,1081110,3251667.6,3.0077120737020286,34.12593718103847,32.20247911144503,0.943636476285194,2.1251258986810857,2.1335735628558896,0.008447664174803915,win
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,2c_Hurink_rdata_38_workers.fjs,10,4495.425533285852,4330.072068947751,0.9632173944126623,3.6782605587337702,129600.53317501544,129601.08364973069,1.0000042474726127,559702,638071.2,1.1400195103823105,48.927228199760116,48.0456689851854,0.9819822367419735,2.1251472382881,2.125144795694238,-2.442593861839981e-06,win
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,2c_Hurink_rdata_50_workers.fjs,10,13105.581466552312,12984.758185000464,0.9907807767354536,0.9219223264546383,19170.045837450027,129600.5505325079,6.760575933487032,3238811,2813395.2,0.8686506251831305,278.8276574674417,258.92280952159297,0.9286123617483212,2.1166725633346433,2.122166904792033,0.005494341457389584,win
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,2d_Hurink_vdata_18_workers.fjs,10,2489.636475784442,2405.983650768681,0.9663995824975196,3.360041750248044,56091.50022649765,129600.88286914825,2.3105262356296317,1455215,2674204.8,1.8376698975752723,35.90885475908043,37.07169006490831,1.0323829683132357,2.1254711848244674,2.1258075438559176,0.0003363590314502396,win
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,2d_Hurink_vdata_30_workers.fjs,10,2924.098329713539,2778.2787638174195,0.9501317844156066,4.9868215584393365,111659.84488406181,129600.9114314556,1.160676083385413,1205848,1626052.8,1.348472444288169,40.911072860486115,43.032150996344015,1.051846064831669,2.1328379174040504,2.13732790605068,0.004489988646629417,win
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,2d_Hurink_vdata_5_workers.fjs,10,1168.9156979577347,1157.0797678681758,0.9898744365310194,1.0125563468980636,18269.915206217767,129600.50592398643,7.093656673342399,4008091,2501616,0.6241415177449814,28.07318157430381,24.25443050941562,0.8639715610864854,2.1295666871804806,2.123984910145117,-0.005581777035363444,win
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,3_DPpaulli_15_workers.fjs,10,6430.239353032676,6140.802149049347,0.9549881134911684,4.501188650883159,129600.97383835315,129601.49203586578,1.0000039984075526,380974,644114.4,1.6907043525279941,57.58662086043589,53.22066868550261,0.9241846090341993,2.122477683077767,2.1251862554811054,0.0027085724033382164,win
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,3_DPpaulli_18_workers.fjs,10,6490.408574020632,6141.669383502262,0.946268530472137,5.373146952786301,129600.6332034111,129601.79660031796,1.000008976784126,634855,752370,1.185105260256279,61.299303174446294,56.82298221406693,0.9269759894718446,2.1242306147207066,2.127408933352238,0.003178318631531507,win
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,3_DPpaulli_1_workers.fjs,10,6412.460163978758,6206.6408773414405,0.9679032256927719,3.2096774307228126,129600.77803266048,129601.05820944309,1.0000021618449122,1468519,1538558.4,1.0476939011344082,63.267273698166534,55.342010076396136,0.8747335998769287,2.1097772839204807,2.1112529331277483,0.0014756492072676153,win
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,3_DPpaulli_9_workers.fjs,10,5690.904328834167,5485.157360311327,0.9638463490801663,3.615365091983369,129600.90116536617,129601.38481771946,1.0000037318594928,1529345,1378531.2,0.9013866720720308,57.82473171141226,57.59333874338798,0.9959983736858633,2.127255506097656,2.126931008822475,-0.0003244972751810238,win
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,4_ChambersBarnes_10_workers.fjs,10,2298.6803132097884,2251.291777613901,0.9793844601515224,2.0615539848477638,65271.51511867046,129601.13960242271,1.9855696526546724,2463962,1814488.8,0.7364110323129983,38.18251826157438,36.10750900000268,0.9456555157688507,2.12577350047994,2.1266659999385884,0.0008924994586485546,win
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,5_Kacem_3_workers.fjs,10,16.835863948497682,16.860441943627244,1.0014598594526987,-0.1459859452698664,12082.907692456245,129600.45459268094,10.725932688668536,3045638,3553156.8,1.1666379261094062,0.7522517915938125,0.6755409175794704,0.8980250032348703,2.1098891257959362,2.137067304697393,0.027178178901456906,loss
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,5_Kacem_4_workers.fjs,10,30.79290816573601,32.36109532463876,1.0509268936361038,-5.092689363610381,19557.235724043847,129600.3626559019,6.6267219194259654,3597754,3880041.6,1.078462173900717,0.9090765176389439,1.0110528809543644,1.1121757754564752,2.172283481914533,2.1574149658437793,-0.014868516070753568,loss
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,6_Fattahi_14_workers.fjs,10,1225.3550704966983,1214.6712448739886,0.9912810369174226,0.8718963082577358,10071.412123465538,129600.48869297505,12.86815464447303,3622796,1791256.8,0.4944404266759707,40.98063593362738,39.03495432063703,0.9525219272794693,2.1241645202534656,2.1193238530997234,-0.004840667153742206,win
non_rl_hpo_effect,competition_no_rl,hpo_no_rl,6_Fattahi_20_workers.fjs,10,2839.476328126015,2850.8090521508634,1.0039911317141805,-0.3991131714180529,17245.936037921907,129600.41249184609,7.5148378265389075,3920906,3533294.4,0.9011423380208554,71.81690916986639,67.59248312659254,0.9411778355250302,2.1236837752742015,2.1240497188916554,0.000365943617453901,loss
rl_effect_on_competition,competition_no_rl,competition_with_rl,0_BehnkeGeiger_42_workers.fjs,10,189.7047862917523,188.39669827800014,0.9931046124912188,0.6895387508781159,20223.98371169567,19839.116460728645,0.9809697606340311,3146001,4031985,1.2816222881048036,4.9471657659628585,5.248961281802389,1.0610037201332372,2.1208168304956216,2.1175227681013875,-0.003294062394234132,win
rl_effect_on_competition,competition_no_rl,competition_with_rl,0_BehnkeGeiger_46_workers.fjs,10,287.1578695710717,290.1145686763424,1.0102964237396213,-1.0296423739621252,36261.262284994125,36548.02496130466,1.0079082375582167,4266773,4210195,0.9867398617175087,5.0994765877755945,6.258169205298006,1.2272179502304248,2.1264709228195544,2.1355431285671735,0.009072205747619133,loss
rl_effect_on_competition,competition_no_rl,competition_with_rl,0_BehnkeGeiger_60_workers.fjs,10,1879.1204587492005,1900.5317466741367,1.0113943136669312,-1.1394313666931222,129600.9459505558,129600.88563041687,0.9999995345702264,255957,173874,0.6793094152533433,17.72049462341986,17.45556726772309,0.9850496636055162,2.1076975490521854,2.110051229592866,0.002353680540680525,loss
rl_effect_on_competition,competition_no_rl,competition_with_rl,1_Brandimarte_12_workers.fjs,10,1156.0541047047655,1173.768994182421,1.0153235816607213,-1.5323581660721342,108729.98611419201,109490.03655400276,1.0069902560183583,1168060,1657003,1.4185940790712805,12.255805733401306,13.135735871746553,1.07179700441458,2.1137047236001214,2.116287411371721,0.0025826877715995344,loss
rl_effect_on_competition,competition_no_rl,competition_with_rl,1_Brandimarte_14_workers.fjs,10,1492.3386074595653,1467.7972837290363,0.9835551237448007,1.6444876255199303,129600.9990315199,129600.76284208297,0.9999981775646894,939408,1092881,1.1633720385604551,14.531446738516177,15.877865773905906,1.0926555393704187,2.109263191857469,2.1075793463522774,-0.0016838455051915169,win
rl_effect_on_competition,competition_no_rl,competition_with_rl,1_Brandimarte_7_workers.fjs,10,381.38693896347706,379.66504315179475,0.9954851736235067,0.4514826376493253,64453.794818758965,61769.60417563915,0.9583548082674165,2577425,2212676,0.8584831760381001,6.177561806394255,6.4008174984400315,1.036139774727092,2.1182755268577695,2.119580285644807,0.0013047587870373967,win
rl_effect_on_competition,competition_no_rl,competition_with_rl,2a_Hurink_sdata_18_workers.fjs,10,2771.546372095655,2864.790194136387,1.033643248036376,-3.3643248036375972,59169.7295886755,58146.22854132652,0.9827022862118189,2963816,1857803,0.6268280487047779,37.317639400721845,38.760840063795065,1.038673417886269,2.104770765912369,2.108480603367854,0.003709837455485143,loss
rl_effect_on_competition,competition_no_rl,competition_with_rl,2a_Hurink_sdata_1_workers.fjs,10,112.29479983229733,111.96386451173458,0.9970529773323701,0.2947022667629917,12611.555644464494,13048.70902428627,1.0346629228102922,3097665,2467024,0.7964140731809282,2.7140810483647932,2.502030123235792,0.9218700837041106,2.1148831432565536,2.1106049554873407,-0.004278187769212849,win
rl_effect_on_competition,competition_no_rl,competition_with_rl,2a_Hurink_sdata_38_workers.fjs,10,5172.2765815987705,5189.465792786106,1.0033233356561961,-0.3323335656196136,129600.59253778457,129600.72585065365,1.0000010286439782,344416,378579,1.0991910944903838,56.71537382957602,52.39561445000898,0.9238344193490201,2.117240379098536,2.1166653959512054,-0.00057498314733051,loss
rl_effect_on_competition,competition_no_rl,competition_with_rl,2a_Hurink_sdata_40_workers.fjs,10,3698.5204537728605,3615.1392608003266,0.9774555274157057,2.254447258429426,124892.15818181037,127085.1817523241,1.0175593376112635,1108387,2292069,2.0679320490045443,46.13012813502151,41.77652909277211,0.9056235215842768,2.1206762104003225,2.1207666292227394,9.041882241689336e-05,win
rl_effect_on_competition,competition_no_rl,competition_with_rl,2a_Hurink_sdata_54_workers.fjs,10,18765.897404271098,18655.29993609325,0.9941064652654088,0.5893534734591199,23263.406992793083,22658.223932433128,0.9739856221168534,4126629,3254773,0.7887244043503789,326.5259782667551,358.04652196395955,1.0965330350268603,2.1084274460684784,2.1122128429333564,0.003785396864877999,win
rl_effect_on_competition,competition_no_rl,competition_with_rl,2a_Hurink_sdata_61_workers.fjs,10,2023.580876482434,2038.0725787746605,1.007161414925712,-0.7161414925711984,33818.74032690525,33134.33345098495,0.9797624964944125,3606775,4225093,1.1714323737965358,34.702214400824126,32.36646185408379,0.9326915418203149,2.116073478352899,2.1103288937150215,-0.005744584637877637,loss
rl_effect_on_competition,competition_no_rl,competition_with_rl,2a_Hurink_sdata_63_workers.fjs,10,877.6075375032499,885.9009691743643,1.00945004608177,-0.9450046081769914,34718.23162093163,33964.77350561619,0.9782979120727688,3594142,2781060,0.7737757717975527,14.197863255092738,13.071218045254271,0.9206468473744215,2.11422783556271,2.112731215510045,-0.001496620052665154,loss
rl_effect_on_competition,competition_no_rl,competition_with_rl,2b_Hurink_edata_1_workers.fjs,10,107.58233815779364,107.88237796505317,1.0027889318302363,-0.27889318302363186,12748.077855443955,13911.241859602927,1.0912423047104511,3131141,3171226,1.01280204245034,2.7547561518854864,2.6313851981399887,0.9552152905943937,2.1083967334904146,2.1105627230262343,0.0021659895358197012,loss
rl_effect_on_competition,competition_no_rl,competition_with_rl,2b_Hurink_edata_6_workers.fjs,10,1232.3647805180583,1244.6363664198725,1.0099577544699512,-0.9957754469951174,17534.498657894135,18517.777696847916,1.056076826497181,3214613,2879205,0.8956614684255928,26.4771649353375,25.764287525990696,0.9730757650568786,2.113464037168262,2.1115695771338308,-0.0018944600344310558,loss
rl_effect_on_competition,competition_no_rl,competition_with_rl,2c_Hurink_rdata_28_workers.fjs,10,2224.139456931579,2271.3364377802363,1.0212203334199963,-2.1220333419996296,85033.3461992979,83426.36907806396,0.981101800728063,1081110,1928122,1.7834651423074432,34.12593718103847,37.481599099097004,1.098331714679562,2.1251258986810857,2.132081000308836,0.00695510162775026,loss
rl_effect_on_competition,competition_no_rl,competition_with_rl,2c_Hurink_rdata_38_workers.fjs,10,4495.425533285852,4551.056028587973,1.012374911983351,-1.2374911983350945,129600.53317501544,129600.53219606876,0.9999999924464301,559702,616877,1.102152574048333,48.927228199760116,49.32593390137308,1.00814895338001,2.1251472382881,2.1229110240807327,-0.002236214207367304,loss
rl_effect_on_competition,competition_no_rl,competition_with_rl,2c_Hurink_rdata_50_workers.fjs,10,13105.581466552312,12957.58901031104,0.9887076772122645,1.129232278773551,19170.045837450027,19445.320569992065,1.0143596282907301,3238811,3372936,1.0414118020471093,278.8276574674417,271.7201366693621,0.9745092690494322,2.1166725633346433,2.11795170736738,0.0012791440327366566,win
rl_effect_on_competition,competition_no_rl,competition_with_rl,2d_Hurink_vdata_18_workers.fjs,10,2489.636475784442,2427.2438921551757,0.9749390787626504,2.50609212373496,56091.50022649765,59019.97341601849,1.0522088583420957,1455215,1852706,1.273149328449748,35.90885475908043,37.21314883958667,1.036322352502106,2.1254711848244674,2.1261992478350593,0.0007280630105919172,win
rl_effect_on_competition,competition_no_rl,competition_with_rl,2d_Hurink_vdata_30_workers.fjs,10,2924.098329713539,2956.731159298646,1.0111599631426567,-1.115996314265666,111659.84488406181,110242.52764260769,0.9873068313597807,1205848,1648968,1.3674758344335274,40.911072860486115,40.78087024170263,0.9968174235071395,2.1328379174040504,2.1336456027941573,0.0008076853901068937,loss
rl_effect_on_competition,competition_no_rl,competition_with_rl,2d_Hurink_vdata_5_workers.fjs,10,1168.9156979577347,1181.4653877460382,1.0107361803851465,-1.0736180385146454,18269.915206217767,18173.88496005535,0.9947438044961624,4008091,2543333,0.634549714564864,28.07318157430381,26.62428314999477,0.9483885208922932,2.1295666871804806,2.12197724780166,-0.007589439378820728,loss
rl_effect_on_competition,competition_no_rl,competition_with_rl,3_DPpaulli_15_workers.fjs,10,6430.239353032676,6469.517402469588,1.0061083339640207,-0.6108333964020662,129600.97383835315,129600.50498828889,0.9999963823569347,380974,467592,1.2273593473570374,57.58662086043589,60.38088704506692,1.0485228364311057,2.122477683077767,2.1260722976965103,0.0035946146187431083,loss
rl_effect_on_competition,competition_no_rl,competition_with_rl,3_DPpaulli_18_workers.fjs,10,6490.408574020632,6713.259750521707,1.034335461929637,-3.433546192963699,129600.6332034111,129600.43376727104,0.9999984611484132,634855,315437,0.49686463838199274,61.299303174446294,56.311616706279025,0.9186338798342739,2.1242306147207066,2.1204648623183027,-0.0037657524024039546,loss
rl_effect_on_competition,competition_no_rl,competition_with_rl,3_DPpaulli_1_workers.fjs,10,6412.460163978758,6500.033273558771,1.0136567101144651,-1.365671011446512,129600.77803266048,120564.0201789856,0.9302723487400859,1468519,2029193,1.3817955368640107,63.267273698166534,58.84666316897552,0.9301280066171221,2.1097772839204807,2.109254515327101,-0.000522768593379741,loss
rl_effect_on_competition,competition_no_rl,competition_with_rl,3_DPpaulli_9_workers.fjs,10,5690.904328834167,5732.122834293207,1.0072428744321351,-0.7242874432135116,129600.90116536617,129600.9059492588,1.000000036912495,1529345,1337881,0.8748065348237317,57.82473171141226,55.652418892119975,0.9624328076413097,2.127255506097656,2.1230759092095863,-0.004179596888069792,loss
rl_effect_on_competition,competition_no_rl,competition_with_rl,4_ChambersBarnes_10_workers.fjs,10,2298.6803132097884,2276.866458236503,0.990510270241613,0.9489729758387022,65271.51511867046,68233.97262654305,1.0453866821152615,2463962,1584990,0.6432688491137445,38.18251826157438,35.53486450963047,0.9306579588646875,2.12577350047994,2.127299629378694,0.0015261288987540311,win
rl_effect_on_competition,competition_no_rl,competition_with_rl,5_Kacem_3_workers.fjs,10,16.835863948497682,16.067791848278866,0.9543788128385681,4.562118716143193,12082.907692456245,11959.299621105194,0.9897700061527224,3045638,3102076,1.0185307643258983,0.7522517915938125,0.6189652699174304,0.8228166111854849,2.1098891257959362,2.149071490201763,0.039182364405826675,win
rl_effect_on_competition,competition_no_rl,competition_with_rl,5_Kacem_4_workers.fjs,10,30.79290816573601,33.53025724083095,1.088895438532852,-8.889543853285197,19557.235724043847,20606.933212280273,1.0536731009968816,3597754,3886681,1.0803076030212182,0.9090765176389439,1.0325782096996476,1.1358540119169096,2.172283481914533,2.163705644381118,-0.0085778375334149,loss
