variant,instance,run,seed,fitness,deterministic_makespan,final_robust_stdev,final_R,function_evaluations,raw_function_evaluations,runtime_s,generations
competition_with_rl,1_Brandimarte_7_workers.fjs,7,1006,413.5385376265207,193.0,9.125387888590353,2.142686723453475,1904860,5000000,64302.71389961243,82733
competition_with_rl,1_Brandimarte_7_workers.fjs,8,1007,365.97321332991413,173.0,4.9049189295848015,2.115452100172914,547900,5000000,57871.89762878418,70160
competition_with_rl,1_Brandimarte_7_workers.fjs,9,1008,382.53586973417873,181.0,6.122314973488013,2.1134578438352416,3333780,5000000,47516.61226248741,53430
competition_with_rl,1_Brandimarte_7_workers.fjs,10,1009,364.9840443511113,172.0,6.521217261863294,2.1220002578552983,4050520,5000000,63574.65242481232,81076
competition_with_rl,2a_Hurink_sdata_18_workers.fjs,1,1000,2713.4509860142475,1284.0,28.249122965769097,2.1132795841232457,4837360,5000000,51420.10982990265,60330
competition_with_rl,2a_Hurink_sdata_18_workers.fjs,2,1001,2663.40555097808,1261.0,39.87866819026649,2.1121376296416177,1963560,5000000,52144.98797416687,61390
competition_with_rl,2a_Hurink_sdata_18_workers.fjs,3,1002,2936.7245693825025,1387.0,38.60893537852261,2.1173212468511196,195410,5000000,62493.52106547356,79901
competition_with_rl,2a_Hurink_sdata_18_workers.fjs,4,1003,2872.6629463393288,1354.0,56.52271979190579,2.1216122203392382,290290,5000000,64469.46552038193,83076
competition_with_rl,2a_Hurink_sdata_18_workers.fjs,5,1004,2881.5759124614306,1362.0,31.356027057359046,2.115694502541432,1656230,5000000,61418.17205429077,78026
competition_with_rl,2a_Hurink_sdata_18_workers.fjs,6,1005,2860.038140910433,1364.0,30.810152484571717,2.096802156092693,833770,5000000,46326.77101302147,51127
competition_with_rl,2a_Hurink_sdata_18_workers.fjs,7,1006,2844.8427575157148,1356.0,45.18908693408664,2.0979666353360726,2127190,5000000,63388.0432305336,82966
competition_with_rl,2a_Hurink_sdata_18_workers.fjs,8,1007,2869.542247362341,1364.0,34.391610642537785,2.1037699760720976,3596340,5000000,64052.11330628395,84595
competition_with_rl,2a_Hurink_sdata_18_workers.fjs,9,1008,2729.3164931555793,1294.0,38.523009704451084,2.1092090364417153,728610,5000000,54465.474829912186,65204
competition_with_rl,2a_Hurink_sdata_18_workers.fjs,10,1009,2965.176447382381,1414.0,44.07906748848041,2.0970130462393075,2349270,5000000,61283.62658929825,76970
competition_with_rl,2a_Hurink_sdata_1_workers.fjs,1,1000,111.15731154723252,52.0,2.792294458544051,2.1376406066775484,4806220,5000000,12970.945545434952,16853
competition_with_rl,2a_Hurink_sdata_1_workers.fjs,2,1001,119.779958830987,57.0,2.5115416451136547,2.101402786508544,941470,5000000,12985.997953414917,17187
competition_with_rl,2a_Hurink_sdata_1_workers.fjs,3,1002,117.87935970339984,56.0,2.284881391175798,2.10498856613214,1572550,5000000,13801.134355068207,20704
competition_with_rl,2a_Hurink_sdata_1_workers.fjs,4,1003,110.1086907053765,52.0,2.5360674643094523,2.1174748212572405,3742610,5000000,12895.977372169495,16815
competition_with_rl,2a_Hurink_sdata_1_workers.fjs,5,1004,113.57463505612722,54.0,2.3976898781876366,2.1032339825208743,84110,5000000,13088.021970272064,17720
competition_with_rl,2a_Hurink_sdata_1_workers.fjs,6,1005,110.33287448672735,52.0,1.8509942786626952,2.1217860478216797,1144570,5000000,12823.680119514465,16825
competition_with_rl,2a_Hurink_sdata_1_workers.fjs,7,1006,110.45650598255861,52.0,3.6932692961457656,2.1241635765876654,4949400,5000000,12994.79566001892,17216
competition_with_rl,2a_Hurink_sdata_1_workers.fjs,8,1007,109.66761106689431,52.0,1.7931071162286638,2.1089925205171984,1472540,5000000,12994.925710201263,17162
competition_with_rl,2a_Hurink_sdata_1_workers.fjs,9,1008,112.77041747623666,54.0,2.436016496223563,2.088341064374753,3013230,5000000,12930.441865444183,16908
competition_with_rl,2a_Hurink_sdata_1_workers.fjs,10,1009,119.58745820111865,57.0,2.724439207766644,2.0980255824757656,2943540,5000000,13001.169691324234,17348
competition_with_rl,2a_Hurink_sdata_38_workers.fjs,1,1000,5126.762716669731,2429.0,46.38572626439906,2.1106474749566617,251870,1181540,129600.8949804306,78718
competition_with_rl,2a_Hurink_sdata_38_workers.fjs,2,1001,5052.580278429482,2388.0,46.63244374257364,2.1158208871145234,275680,2091570,129600.54691576958,71098
competition_with_rl,2a_Hurink_sdata_38_workers.fjs,3,1002,5200.555476293762,2456.0,50.32261408131508,2.1174900147775904,133960,977900,129600.66565322876,80866
competition_with_rl,2a_Hurink_sdata_38_workers.fjs,4,1003,5178.376109278451,2442.0,55.97882885931562,2.1205471372966627,433090,1778230,129601.09905958176,73158
competition_with_rl,2a_Hurink_sdata_38_workers.fjs,5,1004,5303.351440196419,2508.0,45.49806880945702,2.1145739394722565,403360,1158030,129601.26181006432,78627
competition_with_rl,2a_Hurink_sdata_38_workers.fjs,6,1005,4938.62935861928,2337.0,34.67327915419517,2.113234642113513,366420,1036500,129600.09958839417,80524
competition_with_rl,2a_Hurink_sdata_38_workers.fjs,7,1006,5116.420506552565,2407.0,65.22044879591716,2.1256420883060096,393380,1400750,129600.37261486053,76591
competition_with_rl,2a_Hurink_sdata_38_workers.fjs,8,1007,5269.853858169797,2496.0,43.32320520346869,2.1113196547154636,1086500,1480490,129600.34616827965,76339
competition_with_rl,2a_Hurink_sdata_38_workers.fjs,9,1008,5258.2715234314155,2484.0,66.45738343768961,2.1168564909144183,273920,1447600,129600.5775847435,76373
competition_with_rl,2a_Hurink_sdata_38_workers.fjs,10,1009,5326.750334170526,2512.0,69.4641461517587,2.1205216298449545,167610,1483300,129601.39413118362,76000
competition_with_rl,2a_Hurink_sdata_40_workers.fjs,1,1000,3597.5443758538167,1696.0,43.379918340532974,2.1211936178383355,427040,5000000,126541.20799350739,83017
competition_with_rl,2a_Hurink_sdata_40_workers.fjs,2,1001,3798.764492927852,1797.0,39.766135846941815,2.11394796490142,527410,5000000,127780.34538459778,84180
competition_with_rl,2a_Hurink_sdata_40_workers.fjs,3,1002,3769.517184399113,1788.0,44.27218817833207,2.1082310874715398,3304090,5000000,126370.40551042557,84774
competition_with_rl,2a_Hurink_sdata_40_workers.fjs,4,1003,3480.457455052999,1628.0,43.962060572549646,2.137873129639434,3579370,5000000,126578.85689282417,83898
competition_with_rl,2a_Hurink_sdata_40_workers.fjs,5,1004,3608.9746664709564,1700.0,28.47723545521595,2.1229262743946804,2973020,5000000,126729.82745742798,82799
competition_with_rl,2a_Hurink_sdata_40_workers.fjs,6,1005,3552.061676430874,1678.0,43.90049533545642,2.1168424770148233,3463650,5000000,125864.3247525692,84040
competition_with_rl,2a_Hurink_sdata_40_workers.fjs,7,1006,3783.2707926964877,1783.0,49.27511190863034,2.12185686634688,401450,5000000,125225.37919211388,81047
competition_with_rl,2a_Hurink_sdata_40_workers.fjs,8,1007,3621.303855129697,1716.0,41.97452826253946,2.1103169318937627,4488050,5000000,126560.0905225277,83387
